,Index,Sents,Words,C_W_C,S_C,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,MaxDepth,AVGDepth
0,0,11,180,11,253,13,21,5,16,11,30,0,42,4,3,8,5,25,2,0,20,33.0,18.73
1,1,12,172,14,245,13,12,14,12,7,10,3,22,0,7,30,9,51,3,0,30,33.0,14.87
2,2,8,171,13,240,7,15,16,12,10,12,1,22,1,4,25,20,41,3,0,23,43.0,21.1
3,3,5,166,11,226,20,21,5,2,15,18,0,43,3,1,14,3,32,3,0,18,69.0,39.6
4,4,5,147,6,180,31,17,2,3,10,31,0,16,2,2,9,17,28,0,0,7,42.0,35.0
5,5,7,164,26,260,8,27,11,9,9,15,0,31,2,2,10,14,24,5,0,21,45.0,26.86
6,6,8,176,20,272,18,26,4,13,7,19,0,31,1,3,11,26,20,3,0,14,48.0,24.5
7,7,7,176,15,247,12,29,11,10,3,30,0,38,6,4,8,6,18,4,0,15,67.0,27.71
8,8,10,165,12,233,11,19,5,6,6,19,1,39,1,2,13,7,29,6,0,30,34.0,19.4
9,9,8,194,11,266,17,20,10,10,11,26,0,31,2,6,22,1,23,6,0,32,49.0,27.12
10,10,5,187,38,314,14,23,6,19,9,22,0,30,1,4,18,11,17,8,0,22,56.0,40.8
11,11,9,162,25,240,14,23,5,16,9,14,0,26,3,4,22,12,25,3,0,11,48.0,20.78
12,12,7,190,25,291,26,33,6,7,12,20,0,44,1,0,15,4,20,3,0,19,52.0,30.0
13,13,15,199,19,294,14,20,12,19,5,25,0,38,1,3,26,0,25,8,0,28,32.0,14.93
14,14,13,189,8,254,14,29,10,10,8,24,0,35,0,5,18,7,26,3,0,26,41.0,16.54
15,15,5,175,8,235,13,17,18,16,6,14,0,24,0,7,25,5,19,7,0,23,82.0,32.33
16,16,12,181,11,241,11,17,7,9,14,11,0,25,3,6,33,7,23,8,1,29,30.0,17.0
17,17,2,177,8,236,13,20,13,10,15,25,0,28,0,2,17,5,15,7,0,22,156.0,96.0
18,18,6,187,16,257,11,22,13,20,5,24,0,25,3,10,18,7,20,8,0,21,57.0,34.67
19,19,8,184,13,261,12,20,9,17,10,17,0,35,2,8,21,9,19,7,0,17,53.0,25.38
20,20,6,160,6,204,10,18,9,7,14,12,0,27,2,4,28,2,21,4,0,23,65.0,30.17
