,0,1,2,3
0,179,12,253,18
1,169,11,243,15
2,166,12,237,20
3,164,6,226,12
4,147,6,180,6
5,163,8,259,31
6,173,10,271,23
7,172,8,246,20
8,163,11,231,15
9,192,9,266,17
10,186,6,313,40
11,159,10,240,27
12,189,8,291,29
13,199,16,294,26
14,181,12,252,14
15,172,5,234,10
16,179,13,240,13
17,177,3,236,9
18,181,7,256,18
19,177,9,256,15
20,155,7,202,7
21,182,4,254,14
22,197,8,268,13
23,162,7,264,27
24,171,7,271,24
25,157,10,232,16
26,141,7,229,22
27,173,8,240,17
28,175,5,240,17
29,169,11,257,26
30,172,9,225,10
31,164,11,222,9
32,163,8,212,11
33,198,9,280,19
34,147,6,228,24
35,145,9,196,8
36,152,10,190,8
37,193,10,232,4
38,185,12,222,5
39,149,9,186,2
40,153,10,189,6
41,156,7,199,4
42,146,10,174,2
43,184,11,241,9
44,185,11,270,17
45,147,13,221,20
46,163,10,219,11
47,197,9,316,31
48,157,9,225,13
49,144,6,217,14
50,184,7,242,12
51,174,10,277,28
52,145,7,233,22
53,182,9,292,30
54,155,9,225,12
55,177,12,229,11
56,159,8,227,17
57,193,11,251,16
58,194,4,282,17
59,190,7,246,8
60,159,4,223,14
61,189,5,240,11
62,177,5,231,12
63,166,5,236,14
64,191,12,264,18
65,154,13,219,13
66,178,9,300,29
67,164,8,236,15
68,192,13,283,21
69,188,8,250,11
70,183,11,269,16
71,195,5,269,11
72,192,9,282,19
73,165,13,201,5
74,172,11,267,26
75,178,9,276,22
76,158,9,221,10
77,173,7,261,21
78,162,7,258,21
79,174,7,245,17
80,178,9,227,11
81,170,11,279,31
82,178,5,268,20
83,163,8,231,9
84,141,4,205,6
85,156,6,226,11
86,156,6,232,17
87,166,5,235,16
88,176,7,248,10
89,176,10,237,10
90,161,7,233,19
91,158,6,235,21
92,190,7,281,22
93,191,9,307,29
94,180,12,244,14
95,188,11,284,33
96,152,10,210,13
97,159,6,210,8
98,177,10,244,12
99,141,3,185,9
100,172,8,234,17
101,140,6,211,17
102,169,10,237,16
103,164,10,235,12
104,141,11,193,11
105,144,6,203,18
106,142,6,192,8
107,176,7,233,7
108,148,4,196,3
109,148,6,209,10
110,151,10,194,7
111,174,9,228,10
112,167,10,224,10
113,149,9,207,10
114,177,4,248,15
115,177,7,263,22
116,161,8,234,18
117,200,13,301,22
118,186,11,273,19
119,172,9,273,28
120,159,6,260,23
121,154,6,216,12
122,145,7,246,31
123,171,8,240,14
124,189,9,278,19
125,179,13,249,17
126,173,7,262,22
127,195,10,296,25
128,159,6,237,22
129,168,9,233,15
130,199,12,275,16
131,155,12,236,21
132,173,11,276,29
133,166,13,253,22
134,145,11,235,25
135,195,13,277,19
136,142,6,185,6
137,142,8,211,16
138,164,11,240,18
139,162,8,245,27
140,189,8,257,13
141,184,7,269,22
142,153,10,227,21
143,195,10,281,21
144,198,10,294,27
145,145,5,223,19
146,169,7,249,22
147,194,8,257,10
148,187,13,289,24
149,173,4,261,23
150,147,6,215,14
151,161,6,228,16
152,167,10,264,26
153,151,7,234,25
154,198,8,282,25
155,186,12,266,16
156,172,12,235,9
157,180,5,251,16
158,182,8,260,22
159,171,7,206,3
160,165,10,247,19
161,186,12,259,10
162,173,11,226,13
163,135,6,180,9
164,163,4,210,9
165,197,12,274,20
166,143,6,220,26
167,192,8,278,25
168,155,6,235,13
169,148,8,205,9
170,156,10,209,7
171,161,8,247,23
172,171,7,251,21
173,179,11,254,17
174,182,9,258,21
175,195,14,273,5
176,194,7,276,19
177,165,13,240,18
178,152,8,224,17
179,140,6,215,17
180,176,6,250,14
181,166,6,211,2
182,181,10,294,34
183,183,9,241,13
184,194,7,259,13
185,194,11,248,9
186,169,8,235,14
187,152,9,203,5
188,157,8,206,14
189,178,8,216,5
190,151,7,213,15
191,152,8,209,12
192,187,9,301,35
193,150,7,218,12
194,191,8,319,41
195,179,10,251,16
196,179,10,253,17
197,164,4,252,23
198,164,7,237,17
199,144,7,187,7
200,144,5,210,18
201,167,7,246,18
202,194,8,268,17
203,181,9,258,19
204,143,7,204,14
205,191,6,278,18
206,190,12,279,27
207,158,7,221,10
208,168,3,270,29
209,183,9,303,29
210,146,6,206,11
211,152,6,228,20
212,187,8,306,35
213,187,7,280,27
214,141,9,186,8
215,180,11,211,6
216,162,10,201,7
217,170,7,237,18
218,184,6,244,18
219,177,8,238,11
220,195,10,300,22
221,199,12,280,13
222,190,10,248,11
223,192,8,254,17
224,170,7,231,14
225,146,10,192,9
226,186,6,279,22
227,179,20,215,4
228,200,8,285,16
229,183,6,270,16
230,175,7,259,23
231,202,13,308,29
232,182,4,247,14
233,191,8,253,9
234,192,14,278,24
235,184,8,248,15
236,191,10,292,23
237,160,7,241,16
238,181,10,283,25
239,180,10,260,15
240,163,9,219,13
241,175,11,247,15
242,192,11,274,24
243,162,8,219,7
244,175,9,259,23
245,153,9,190,4
246,165,7,224,13
247,156,8,191,3
248,171,11,242,16
249,157,11,255,15
250,190,21,327,39
251,157,12,244,19
252,198,9,349,38
253,144,7,304,47
254,171,12,302,40
255,162,11,314,44
256,193,10,372,50
257,191,13,301,24
258,157,11,297,38
259,155,8,279,33
260,175,8,302,36
261,152,15,245,18
262,161,16,285,32
263,183,9,324,37
264,184,8,318,42
265,180,11,356,52
266,189,9,348,39
267,156,12,291,43
268,151,7,269,31
269,178,9,276,25
270,157,10,246,27
271,171,14,221,6
272,153,6,271,32
273,185,10,353,48
274,186,21,305,27
275,178,13,317,33
276,171,10,327,48
277,158,8,307,47
278,165,9,300,37
279,146,10,262,31
280,181,9,302,27
281,156,13,231,25
282,158,7,280,37
283,157,7,250,20
284,160,12,249,27
285,146,13,208,12
286,183,7,255,21
287,180,8,331,44
288,169,10,258,22
289,176,13,258,18
290,173,10,314,48
291,159,6,348,58
292,177,8,379,71
293,182,7,361,58
294,180,13,281,22
295,199,24,288,9
296,200,21,282,18
297,169,13,269,27
298,168,11,312,40
299,157,9,292,41
300,176,12,310,36
301,152,11,268,35
302,169,13,269,25
303,167,8,279,36
304,172,8,340,61
305,189,13,296,37
306,167,7,323,53
307,140,10,234,21
308,148,12,258,33
309,178,15,294,29
310,156,14,230,10
311,169,11,301,35
312,144,11,223,22
313,190,11,307,31
314,155,14,281,34
