,Sentences,Words,Complex_word_count,Syllable_count,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X
0,11,180,11,253,13,21,5,16,11,30,0,42,4,3,8,5,25,2,0,20,0
1,12,172,14,245,13,12,14,12,7,10,3,22,0,7,30,9,51,3,0,30,0
2,8,171,13,240,7,15,16,12,10,12,1,22,1,4,25,20,41,3,0,23,0
3,5,166,11,226,20,21,5,2,15,18,0,43,3,1,14,3,32,3,0,18,0
4,5,147,6,180,31,17,2,3,10,31,0,16,2,2,9,17,28,0,0,7,0
5,7,164,26,260,8,27,11,9,9,15,0,31,2,2,10,14,24,5,0,21,0
6,8,176,20,272,18,26,4,13,7,19,0,31,1,3,11,26,20,3,0,14,0
7,7,176,15,247,12,29,11,10,3,30,0,38,6,4,8,6,18,4,0,15,0
8,10,165,12,233,11,19,5,6,6,19,1,39,1,2,13,7,29,6,0,30,0
9,8,194,11,266,17,20,10,10,11,26,0,31,2,6,22,1,23,6,0,32,0
10,5,187,38,314,14,23,6,19,9,22,0,30,1,4,18,11,17,8,0,22,0
11,9,162,25,240,14,23,5,16,9,14,0,26,3,4,22,12,25,3,0,11,0
12,7,190,25,291,26,33,6,7,12,20,0,44,1,0,15,4,20,3,0,19,0
13,15,199,19,294,14,20,12,19,5,25,0,38,1,3,26,0,25,8,0,28,0
14,13,189,8,254,14,29,10,10,8,24,0,35,0,5,18,7,26,3,0,26,0
15,5,175,8,235,13,17,18,16,6,14,0,24,0,7,25,5,19,7,0,23,0
16,12,181,11,241,11,17,7,9,14,11,0,25,3,6,33,7,23,8,1,29,0
17,2,177,8,236,13,20,13,10,15,25,0,28,0,2,17,5,15,7,0,22,0
18,6,187,16,257,11,22,13,20,5,24,0,25,3,10,18,7,20,8,0,21,0
19,8,184,13,261,12,20,9,17,10,17,0,35,2,8,21,9,19,7,0,17,0
20,6,160,6,204,10,18,9,7,14,12,0,27,2,4,28,2,21,4,0,23,0
21,3,182,11,254,9,30,7,12,9,28,0,33,0,1,22,9,17,4,0,18,0
22,8,199,10,268,18,24,13,10,13,25,0,41,1,3,17,5,20,6,0,23,0
23,6,163,22,264,11,22,7,10,8,15,0,31,3,1,28,1,18,8,0,18,0
24,6,172,21,272,18,25,7,10,10,20,0,31,6,4,13,14,22,1,0,13,0
25,7,157,16,232,12,16,10,13,6,11,0,21,0,5,24,9,18,11,0,19,0
26,6,141,22,229,7,13,9,9,6,12,0,26,6,4,17,1,16,10,0,21,0
27,6,174,13,240,17,18,6,10,10,25,0,33,0,7,18,2,19,5,0,23,0
28,4,177,13,242,9,23,11,13,9,14,0,33,1,5,27,7,20,6,0,19,0
29,9,170,25,258,6,14,4,18,10,13,0,28,0,4,33,2,24,7,0,31,0
30,8,173,8,225,4,17,17,13,11,14,0,23,2,3,23,9,27,8,0,29,0
31,11,166,8,223,17,20,23,6,8,18,0,26,2,6,20,0,27,2,0,18,0
32,7,167,7,215,6,20,15,11,8,17,0,23,0,4,23,7,28,7,0,26,0
33,8,200,14,282,16,21,13,19,7,17,1,21,1,9,25,20,29,3,0,27,0
34,5,148,22,229,15,19,1,9,7,20,0,34,2,4,14,3,8,3,0,17,0
35,8,146,6,196,10,21,6,6,6,24,0,27,0,3,20,4,20,2,0,17,0
36,9,153,7,191,4,9,10,9,5,27,0,26,1,8,21,3,34,3,0,27,0
37,10,194,4,233,16,14,13,17,11,27,0,34,3,3,22,0,38,6,0,28,0
38,13,188,4,222,13,14,14,18,7,15,1,34,1,7,30,1,44,5,0,28,0
39,8,149,2,186,6,20,9,8,10,24,0,31,0,1,16,0,21,3,0,21,0
40,11,153,5,189,7,23,11,9,8,15,2,21,0,3,26,0,31,5,0,23,0
41,6,156,4,199,17,10,18,13,9,15,0,21,0,5,18,0,15,4,0,26,0
42,10,146,2,174,10,14,5,14,7,14,0,20,0,3,22,2,20,9,0,26,0
43,10,185,8,241,20,20,10,12,11,11,0,28,3,8,27,4,14,9,0,22,0
44,10,186,13,271,14,19,6,21,5,22,0,34,0,9,17,5,24,4,0,30,0
45,12,153,15,226,11,21,7,9,8,7,0,22,0,8,27,3,21,2,0,28,0
46,9,166,7,220,9,22,9,10,7,13,0,21,0,2,36,3,19,7,0,27,0
47,8,199,25,317,17,21,7,10,6,33,0,46,2,4,19,4,22,5,0,25,0
48,6,159,7,226,10,18,3,8,8,21,0,36,1,5,17,7,26,2,0,23,0
49,6,149,12,220,5,26,4,12,4,16,0,26,2,2,19,15,26,3,0,15,0
50,6,188,8,242,13,18,21,14,11,17,0,28,0,7,24,0,27,8,0,27,0
51,9,174,27,277,16,22,7,13,7,25,0,37,1,6,13,3,14,6,0,18,0
52,6,147,20,234,7,16,11,13,6,16,0,24,0,2,16,11,17,2,0,23,0
53,8,184,28,293,13,25,10,19,7,16,0,41,3,2,10,14,17,3,0,21,0
54,8,157,9,227,8,27,6,7,1,27,0,41,3,3,3,4,18,4,0,23,0
55,10,182,11,234,11,17,8,22,8,11,1,22,0,10,37,4,26,7,0,24,0
56,7,159,15,227,4,21,16,10,7,19,0,30,2,2,17,1,23,6,0,24,0
57,12,195,13,252,15,25,20,13,7,18,1,30,0,6,27,0,33,8,0,25,0
58,3,199,15,283,11,26,12,12,9,25,0,38,1,3,26,3,20,9,0,24,0
59,6,190,8,246,16,21,9,15,6,22,0,34,2,13,19,3,17,5,0,25,0
60,3,162,12,224,1,24,1,6,10,31,0,46,2,4,7,0,18,7,0,23,0
61,5,190,11,241,17,21,10,15,12,19,0,37,0,3,26,3,26,8,0,19,0
62,4,179,10,232,11,22,13,12,12,21,1,32,1,5,15,0,32,9,0,25,0
63,4,167,9,237,7,17,7,10,9,27,0,38,3,3,15,1,18,7,0,23,0
64,7,195,16,268,14,16,9,16,7,24,0,36,0,12,18,13,20,5,0,25,0
65,11,157,11,222,9,17,8,8,7,15,1,28,1,3,20,9,32,5,0,26,0
66,8,184,24,300,20,24,12,11,5,27,0,40,2,1,10,17,23,0,0,15,0
67,8,165,13,237,16,15,18,11,6,17,0,34,1,6,9,10,27,5,0,17,0
68,12,196,16,286,8,21,13,15,6,21,0,36,0,2,32,6,45,5,0,31,0
69,8,197,10,257,24,19,10,15,8,16,3,25,0,9,28,10,53,3,0,27,0
70,9,186,11,270,13,21,9,14,6,25,0,30,1,3,18,16,63,2,0,28,0
71,4,201,9,273,9,23,11,11,17,27,0,40,1,6,13,12,25,3,0,28,0
72,7,196,19,286,10,27,9,13,13,22,1,31,1,6,20,16,36,6,0,21,0
73,10,168,4,204,5,19,9,11,4,14,2,19,0,8,26,13,41,5,0,33,0
74,11,173,25,268,9,18,29,9,9,17,0,24,1,6,15,5,22,2,0,29,0
75,8,179,17,276,20,23,16,14,9,20,0,37,1,0,12,3,16,5,0,19,0
76,9,160,10,221,13,14,7,13,9,18,0,31,3,5,19,1,23,6,0,21,0
