,0,1
0,33.0,18.73
1,33.0,14.87
2,43.0,21.1
3,69.0,39.6
4,42.0,35.0
5,45.0,26.86
6,48.0,24.5
7,67.0,27.71
8,34.0,19.4
9,49.0,27.12
10,56.0,40.8
11,48.0,20.78
12,52.0,30.0
13,32.0,14.93
14,41.0,16.54
15,82.0,32.33
16,30.0,17.0
17,156.0,96.0
18,57.0,34.67
19,53.0,25.38
20,65.0,30.17
21,125.0,66.33
22,48.0,27.38
23,57.0,30.17
24,61.0,32.33
25,31.0,25.0
26,44.0,26.17
27,46.0,32.17
28,65.0,49.25
29,33.0,19.4
30,40.0,25.0
31,40.0,17.55
32,49.0,27.86
33,63.0,28.62
34,39.0,31.2
35,38.0,20.75
36,26.0,17.0
37,58.0,23.2
38,35.0,17.85
39,43.0,21.25
40,34.0,16.73
41,39.0,28.5
42,25.0,16.6
43,36.0,19.9
44,36.0,21.0
45,34.0,14.5
46,36.0,20.56
47,49.0,27.62
48,58.0,30.67
49,47.0,29.17
50,64.0,35.83
51,42.0,20.89
52,39.0,27.33
53,38.0,25.12
54,30.0,21.88
55,30.0,18.91
56,43.0,26.0
57,36.0,19.0
58,107.0,73.0
59,67.0,34.5
60,94.0,60.0
61,71.0,43.2
62,81.0,52.75
63,84.0,46.25
64,65.0,30.71
65,40.0,17.18
66,41.0,25.88
67,44.0,24.0
68,36.0,16.0
69,50.0,27.78
70,124.0,22.64
71,132.0,56.5
72,70.0,33.14
73,35.0,17.42
74,37.0,17.73
75,33.0,24.38
76,55.0,20.33
77,54.0,33.17
78,55.0,29.83
79,65.0,33.0
80,71.0,22.3
81,39.0,27.71
82,102.0,53.0
83,76.0,24.5
84,80.0,54.0
85,61.0,36.8
86,51.0,35.0
87,81.0,50.25
88,62.0,28.71
89,33.0,22.22
90,68.0,30.5
91,64.0,35.2
92,67.0,42.2
93,58.0,26.62
94,34.0,18.64
95,42.0,21.3
96,34.0,19.44
97,50.0,31.0
98,46.0,21.4
99,86.0,81.0
100,66.0,29.29
101,51.0,23.71
102,33.0,20.89
103,38.0,20.78
104,38.0,16.8
105,44.0,32.4
106,66.0,28.5
107,59.0,32.67
108,102.0,54.33
109,52.0,34.2
110,44.0,20.0
111,36.0,22.22
112,35.0,19.7
113,32.0,18.0
114,94.0,41.2
115,65.0,34.33
116,42.0,25.86
117,40.0,21.36
118,40.0,21.3
119,34.0,22.0
120,62.0,35.4
121,69.0,35.4
122,47.0,29.0
123,46.0,23.44
124,39.0,27.0
125,34.0,17.38
126,59.0,32.5
127,52.0,25.22
128,51.0,23.25
129,44.0,24.12
130,50.0,20.73
131,36.0,22.5
132,57.0,21.89
133,43.0,16.92
134,31.0,16.5
135,34.0,15.93
136,45.0,30.6
137,49.0,27.67
138,33.0,15.69
139,40.0,26.14
140,59.0,27.12
141,46.0,28.86
142,34.0,18.78
143,58.0,24.6
144,60.0,26.67
145,99.0,42.5
146,44.0,23.75
147,51.0,30.75
148,39.0,18.42
149,67.0,50.5
150,68.0,32.6
151,65.0,36.2
152,33.0,18.0
153,47.0,28.5
154,45.0,31.43
155,42.0,16.07
156,34.0,17.0
157,54.0,26.12
158,48.0,30.57
159,53.0,34.83
160,44.0,21.67
161,46.0,20.73
162,36.0,20.6
163,62.0,32.8
164,86.0,38.2
165,41.0,17.77
166,68.0,33.6
167,41.0,25.11
168,76.0,34.6
169,49.0,26.43
170,40.0,20.22
171,64.0,37.6
172,47.0,32.83
173,37.0,19.9
174,53.0,26.38
175,31.0,19.33
176,54.0,29.0
177,32.0,13.12
178,38.0,21.5
179,53.0,31.2
180,90.0,40.2
181,69.0,39.2
182,38.0,22.67
183,43.0,25.67
184,57.0,34.5
185,40.0,20.45
186,41.0,27.43
187,35.0,21.62
188,36.0,23.25
189,51.0,23.11
190,34.0,29.0
191,39.0,25.57
192,46.0,27.38
193,47.0,28.0
194,46.0,30.86
195,55.0,21.82
196,36.0,22.33
197,85.0,36.8
198,39.0,31.67
199,39.0,24.43
200,57.0,31.6
201,41.0,24.38
202,50.0,31.43
203,49.0,25.88
204,42.0,27.33
205,84.0,43.8
206,40.0,27.12
207,50.0,29.67
208,102.0,95.0
209,32.0,27.12
210,50.0,32.2
211,60.0,33.8
212,51.0,30.57
213,45.0,34.33
214,39.0,20.62
215,48.0,21.2
216,41.0,21.22
217,46.0,27.71
218,59.0,43.2
219,69.0,28.14
220,50.0,25.33
221,41.0,19.75
222,38.0,21.0
223,39.0,31.43
224,46.0,32.17
225,23.0,19.22
226,61.0,41.8
227,19.0,11.11
228,62.0,32.29
229,66.0,41.0
230,65.0,43.2
231,33.0,17.93
232,66.0,42.8
233,40.0,14.22
234,35.0,23.67
235,53.0,26.88
236,62.0,25.0
237,43.0,31.5
238,49.0,23.89
239,41.0,30.0
240,35.0,18.73
241,33.0,19.7
242,45.0,18.58
243,40.0,20.78
244,51.0,25.88
245,45.0,21.5
246,51.0,24.38
247,31.0,24.71
248,36.0,18.73
249,31.0,22.25
250,28.0,11.42
251,22.0,15.55
252,41.0,31.43
253,39.0,29.0
254,36.0,21.33
255,28.0,18.7
256,36.0,24.44
257,36.0,18.25
258,30.0,21.5
259,33.0,24.43
260,35.0,27.29
261,24.0,13.29
262,38.0,14.07
263,45.0,24.5
264,48.0,29.57
265,41.0,25.12
266,50.0,27.88
267,35.0,22.75
268,38.0,24.86
269,57.0,28.29
270,45.0,25.0
271,23.0,14.62
272,49.0,35.8
273,51.0,32.0
274,25.0,10.7
275,24.0,17.58
276,35.0,24.25
277,45.0,26.29
278,34.0,23.25
279,33.0,18.67
280,39.0,25.88
281,29.0,14.58
282,53.0,35.6
283,56.0,26.29
284,25.0,17.36
285,16.0,11.6
286,53.0,19.09
287,52.0,28.43
288,34.0,20.78
289,44.0,19.55
290,36.0,20.9
291,41.0,31.5
292,49.0,30.0
293,53.0,34.67
294,31.0,17.0
295,20.0,10.81
296,16.0,11.1
297,24.0,16.0
298,35.0,19.2
299,51.0,21.0
300,32.0,19.36
301,49.0,21.5
302,32.0,16.17
303,40.0,28.57
304,56.0,29.14
305,41.0,17.58
306,53.0,31.67
307,26.0,17.67
308,26.0,15.27
309,24.0,14.5
310,38.0,13.54
311,53.0,22.22
312,32.0,16.8
313,31.0,20.7
314,27.0,14.08
315,39.0,20.3
316,39.0,18.18
317,38.0,21.0
318,48.0,36.4
319,47.0,28.29
320,36.0,23.5
321,27.0,15.5
322,39.0,29.5
323,32.0,17.45
324,39.0,26.71
325,27.0,21.3
326,26.0,15.07
327,57.0,26.0
328,80.0,34.33
329,47.0,23.44
330,36.0,22.56
331,43.0,35.2
332,28.0,14.81
333,43.0,26.5
334,22.0,9.95
335,28.0,15.08
336,51.0,24.62
337,45.0,34.4
338,32.0,16.23
339,41.0,22.62
340,46.0,24.56
341,31.0,21.1
342,33.0,21.62
343,33.0,23.14
344,43.0,26.75
345,52.0,22.71
346,30.0,21.22
347,50.0,32.17
348,34.0,21.0
349,33.0,18.73
350,42.0,24.57
351,28.0,21.25
352,38.0,21.25
353,26.0,13.0
354,58.0,23.38
355,30.0,19.0
356,20.0,12.0
